id,english,italian
448,Hyper Heyedra,Bulbo ramificato
449,Wiggly,Vermex
450,Missing Lynx,Lince alata
451,Tails,Coda lincea
452,Bjorn Jr{00}{00},Wasen
453,Bjorn,Wasen
454,Bjorn,Wasen
455,Bjorn Jr{00}{00},Wasen
456,Tentacle,Tentack
457,Missing Lynx,Lince alata
458,Gemon,Gemon
459,Empyrea,Empyrea
460,Khalimari,Piovron
461,Overkilling Machine,Mega Mechator
462,Sagittar,Sagitta
464,Leonyx,Leonex
465,Great dragon,Gigadragone
466,Wight King,Druido supremo
467,Metal King Slime,Re Metalslime
468,Bilhaw,Grifotauro
469,Captain Crow,Capitan Crow
470,Dark Leonyx,Malevoleonex
472,Schleiman Tank,Tankissimus
473,Dhoulmagus,Dhoulmagus
474,Barbarus,Barbarus
475,Nokturnus,Nokturnus
476,Ultra Slime,Ultra Slime
477,Nemeslime,Slime Nemo
478,Estark,Estark
479,Dimensional Dragon,Drago dimensionale
480,Stella,Stella
481,Sitting lion beast,Re Babbuino
482,Evil beast,Babbuincubo
483,Don Mole,Don Mole
484,Canzar,Cancerio
485,Harmour,Armour
486,Libranex,Rigor Mortex
487,Wight Knight,Cavalier dell'Ombra
488,Mad Knight,Cavaliere Aberrante
489,Balhib,Centopetra
490,Ethereal Serpent,Serpe eterea
491,Dragovian Lord,Sire Dragoviano
492,Leopold,Leopold
493,Overkilling Machine 2,Robocentauro
494,Demon-at-arms,Demone multimani
495,Liquid Metal Slime,Metaliquislime
496,Sagittar,Sagitta
497,Trauminator,Traumatizzator
498,Night Clubber,Randellatore oscuro
499,Hootingham Gore,Generale Gufus
500,Perfect Sanguini,Sanguinis
501,Pink Sanguini,Sanguonicum
502,Genie Sanguini,Sanguinigenio
503,Ruin,Rovina
504,Goresby-Purrvis,Generale Pardus
505,Goreham-Hogg,Generale Soinos
506,Wulfspade Ace,Lupicche Asso
507,Hawkhart Ace,Cuordifalco Asso
508,Cluboon Ace,Fiorango Asso
509,Diamagon Ace,Quadrago Asso
510,Mumboh-Jumboe,Mambu-Jambo
511,Atlas,Atlas
513,Better ,X
514,Best ,XY
