Grado,0,Mostro,Dim.,Family,Fiamma,Bang,Vento,Gelo,Fulmine,Elektron,Pyro,Respiro caldo,Respiro gelido,Donk,Morte rapida,Illusyo,Veleno,Confusione,Inazione,Paralisi,Sonno,Sag,Sap,Velocimeno,Dim,Boccachiusa,Danza ipnotica,Attacco,Rubamagia,Contromagia,Abiliterator,Sabotaggio magico
F,23,Dragospino,1,Dragon,-25%,,,,,,^50%,,,-25%,,^50%,-25%,,,,,,-25%,,^50%,Immune,,Immune,,Immune,,
F,24,Killarpillar,1,Nature,Immune,^50%,,-25%,,,-25%,,,,,,,,-25%,Immune,-25%,,,-25%,^50%,,Immune,,Immune,,,
F,25,Satyro,1,Beast,^50%,,,-25%,,,,,,,,,Immune,,^50%,,^50%,-25%,,^50%,-25%,,,,,,Immune,
F,26,Ticking Timeburrm,1,Material,,Absorb,-25%,,,,,,,^50%,Immune,,,-25%,,,^50%,^50%,-25%,,Immune,,,,,,,
F,27,Taglialbero,1,Demon,,,Immune,^50%,-25%,,,,,,,,,^50%,Immune,-25%,,,,^50%,-25%,,,,,Immune,,
F,28,Nauseafungus,1,Zombie,-25%,,,,,^50%,,,,,,,Immune,Immune,,Immune,,,^50%,,-25%,,,,,,,
F,29,Dottor Slime,1,Slime,,,,,^50%,-25%,,,,,,Immune,,,,,,^50%,,-25%,,,,,-25%,Immune,,Immune
F,30,Dragocertola,1,Dragon,,,,,,,^50%,,,-25%,,^50%,-25%,,,Immune,,,-25%,,^50%,Immune,,Immune,,,,
F,31,Formica soldato,1,Nature,,^50%,,-25%,,,-25%,,,,,,,,-25%,^50%,,,Immune,-25%,^50%,,Immune,,Immune,,,
F,32,Martellus,1,Beast,^50%,,,-25%,,,,,,,,Immune,Immune,,^50%,,-25%,-25%,,^50%,,,,,,,Immune,
F,33,Spirito gelido,1,Material,-25%,,-25%,Absorb,-25%,,,-25%,Absorb,^50%,Immune,,,-25%,,,^50%,^50%,-25%,,Immune,,,,,,,
F,34,Vegetribù,1,Demon,,,,^50%,-25%,,,,,,,,-25%,^50%,Immune,-25%,,,,Immune,,,,,,Immune,,
F,35,Mano,1,Zombie,-25%,,,,,^50%,,,,Immune,,-25%,^50%,Immune,,Immune,,,^50%,,-25%,,,,,,,
F,36,Slimetta,1,Slime,Immune,,,,^50%,-25%,,,,,,Immune,,,,,,^50%,,-25%,,,,,-25%,^50%,,Immune
F,37,Jargon,1,Dragon,,,,,,,^50%,,,-25%,,^50%,-25%,,,,,,-25%,,^50%,^50%,,^50%,,Immune,,
F,38,Ghiandaia floreale,1,Nature,,^50%,Immune,,,,-25%,,,-25%,,,,,-25%,^50%,,,,-25%,^50%,,Immune,,Immune,,,
F,39,Scaraforbici,1,Nature,-25%,^50%,,,,,-25%,,,,,,,,-25%,^50%,Immune,,,-25%,^50%,,Immune,,Immune,,,
F,40,Kan Kanide,1,Beast,^50%,,,-25%,,,,,,,,,Immune,,^50%,,-25%,-25%,,^50%,,,Immune,,,,Immune,
F,41,Sole & Soletto,1,Material,,Absorb,-25%,-25%,,-25%,Absorb,,-25%,^50%,Immune,,,-25%,,,^50%,^50%,-25%,,Immune,,,,,,,
F,42,Riccio ribelle,1,Demon,,,,^50%,-25%,,-25%,,,,,,,^50%,Immune,-25%,,,,^50%,-25%,,,,,Immune,,
F,43,Droll,1,Zombie,-25%,,,,,^50%,,,,,,-25%,^50%,Immune,,Immune,,,^50%,Immune,-25%,,-25%,,,,,
F,44,Minidrago Slime,1,Slime,,,,,^50%,-25%,,Immune,Immune,,,Immune,,,,,,^50%,,-25%,,,,,-25%,^50%,,Immune
F,45,Lacertoflamma,1,Dragon,,,Immune,-25%,,,^50%,,,-25%,,^50%,-25%,,,,,,-25%,,^50%,Immune,,Immune,,,,
F,46,Infernape,1,Nature,-25%,^50%,,,,,-25%,,,,,,Immune,,-25%,Immune,,,,-25%,^50%,,Immune,,Immune,,,
F,47,Beck Beck,1,Beast,^50%,,,-25%,,,,,,,,,Immune,,^50%,,-25%,-25%,,Immune,,,Immune,,,,Immune,
F,48,Maskerossa,1,Material,Immune,Immune,-25%,-25%,,,Immune,,,^50%,Immune,,,-25%,,,^50%,^50%,-25%,,Immune,,,,,,,
F,49,Mostradamus,1,Demon,,,,^50%,-25%,,,,,,,,,^50%,Immune,-25%,,,,Immune,-25%,,,,,Immune,,
F,50,Ghoul sbavante,1,Zombie,-25%,,,,,^50%,,,,,,-25%,^50%,Immune,Immune,Immune,,,^50%,,-25%,,,,,,,
E,51,Slimpunk,1,Slime,,,,,^50%,-25%,,,,-25%,,Immune,,,,,,Immune,,-25%,,,,,-25%,^50%,,Immune
E,52,Serpe boreale,2,Dragon,-25%,,,Absorb,,,^50%,-25%,Absorb,-25%,^50%,^50%,-25%,^50%,^50%,^50%,^50%,,-25%,,^50%,Immune,,Immune,,,,
E,53,Peso gallo,2,Nature,,^50%,Immune,,,,-25%,,,,^50%,,,^50%,,Immune,Immune,,,-25%,^50%,,Immune,,Immune,,,
E,54,Yeeteeh,1,Beast,-25%,,,Immune,,,-25%,,Immune,,,,Immune,,^50%,,-25%,-25%,,^50%,,,,,,,Immune,
E,55,Magibambola,1,Material,,,-25%,,,,,,,^50%,Immune,Immune,,-25%,,,^50%,^50%,-25%,,Immune,,,,,,,
E,56,Ranassassina,1,Demon,-25%,,,^50%,-25%,,,,,,,Immune,,^50%,Immune,-25%,,,,^50%,-25%,,,,,Immune,,
E,57,Cocco di mummia,1,Zombie,-25%,,,Immune,-25%,^50%,,,,,Immune,-25%,^50%,Immune,,Immune,,,^50%,,-25%,,,,,,,
E,58,Guscioslime,1,Slime,,,,,^50%,-25%,,,,,-25%,Immune,,,,,,^50%,Immune,-25%,,,,,-25%,^50%,,Immune
E,59,Dragocorno,1,Dragon,,,,,,,^50%,,,-25%,,^50%,-25%,,,-25%,,,-25%,,^50%,Immune,,Immune,,,Immune,
E,60,Peracolosa,1,Nature,,^50%,-25%,,,,-25%,,,,,Immune,,,-25%,^50%,,,,-25%,^50%,,Immune,,Immune,,,
E,61,Pan,1,Beast,^50%,,,-25%,,,,,,,,-25%,Immune,,^50%,,^50%,-25%,,^50%,,,,,,,Immune,
E,62,Axecutioner,1,Material,,,-25%,Immune,,,,,,^50%,Immune,,,-25%,,,^50%,^50%,-25%,,Immune,,,,,,,
E,63,Cacciateste,1,Demon,,,,^50%,-25%,,,,,,Immune,,,^50%,Immune,-25%,,,-25%,^50%,-25%,,,,,Immune,,
E,64,Cavaliere feroce,1,Zombie,-25%,,,,-25%,^50%,,,,,,-25%,^50%,Immune,^-50%,Immune,^-50%,,^50%,,^-50%,,,,,Immune,,
E,65,Slime maculato,1,Slime,,,,,^50%,-25%,,,,,,Immune,,,,,,^50%,,^50%,Immune,,,,-25%,^50%,,Immune
E,66,Rapax,1,Dragon,-25%,,,,,,^50%,,,-25%,,^50%,-25%,Immune,,,,,-25%,,^50%,Immune,,Immune,,,,
E,67,Cactusfera,1,Nature,,^50%,-25%,,,,-25%,,,Immune,,,,,-25%,^50%,,,,-25%,^50%,,Immune,,Immune,,,
E,68,Gatto vampiro,1,Beast,^50%,,,-25%,,,,,,,,,Immune,-25%,^50%,-25%,-25%,-25%,,^50%,,,,,,Immune,Immune,
E,69,Esplo-sasso,1,Material,,,-25%,,,,,,,Immune,Immune,,,-25%,,,^50%,^50%,-25%,,Immune,,,,,,,
E,70,Blob bianco,1,Demon,Immune,Immune,Immune,Immune,Immune,Immune,Immune,,,,-25%,,,^50%,Immune,-25%,,,,^50%,-25%,,,,,Immune,,
E,71,Hipster swingante,1,Zombie,-25%,,,,,^50%,,,,,,-25%,^50%,Immune,,Immune,,,^50%,,-25%,,,,,,,
E,72,Droll Diabolista,1,Zombie,-25%,,,,,Immune,,,,,,-25%,^50%,Immune,,Immune,,,^50%,^50%,-25%,,,,Immune,,,-25%
E,73,Kurridor,1,Dragon,,Immune,,,,,^50%,,,-25%,,^50%,-25%,,,,,,-25%,,^50%,Immune,-25%,Immune,,,,
E,74,Great Sabercub,1,Nature,,^50%,,,,,-25%,,,,,,,,-25%,^50%,,,,^50%,^50%,,Immune,,Immune,,,
E,75,Gelatile,1,Beast,-25%,,,Absorb,,,,-25%,Absorb,,,,Immune,,^50%,,-25%,-25%,,^50%,,,,,,,Immune,
E,76,Danging Flame,1,Material,Absorb,,-25%,-25%,,-25%,,Absorb,-25%,^50%,Immune,,,-25%,,,^50%,^50%,-25%,,Immune,,,,,,,
E,77,Diavoletto,1,Demon,,,,^50%,-25%,,,,,,,,,^50%,Immune,-25%,,,,^50%,-25%,,,,,Immune,,Immune
E,78,Stivale matto,1,Zombie,-25%,,,,,^50%,,,,,,-25%,^50%,Immune,-25%,Immune,,,^50%,,-25%,,-25%,,,,Immune,Immune
E,79,Slimaca,1,Slime,,,,,^50%,-25%,,,,,Immune,Immune,,,,,,^50%,-25%,-25%,,,,,-25%,^50%,,Immune
E,80,Verdrago,2,Dragon,,,-25%,,,,^50%,Immune,Immune,-25%,^50%,^50%,-25%,^50%,^50%,^50%,^50%,,-25%,,^50%,Immune,,Immune,,,,
E,81,Chimera,1,Nature,,^50%,,,,,-25%,,,,-25%,,,Immune,-25%,^50%,,,,-25%,^50%,,Immune,,Immune,,,
E,82,Mastino guerriero,1,Beast,^50%,,,-25%,,,,,,Immune,,Immune,Immune,,^50%,,-25%,-25%,,^50%,,,,,,,Immune,
E,83,Campanella,1,Material,,,-25%,,,,,,,Immune,Immune,,,-25%,,,^50%,^50%,-25%,,Immune,,,,,,,
E,84,Gruffone,1,Demon,,,,^50%,-25%,,,,,,,,,^50%,Immune,-25%,,,,^50%,-25%,,,,,Immune,,
E,85,Lupo infernale,1,Zombie,-25%,,,,-25%,^50%,,,,,,-25%,^50%,Immune,,Immune,,Immune,^50%,,-25%,,,,,,,
E,86,Homo nevis,1,Slime,-25%,,,Absorb,^50%,-25%,,-25%,Absorb,,,Immune,,,,,,^50%,,-25%,,,,,,^50%,,Immune
E,87,Libellula,1,Dragon,,-25%,,,,,^50%,,,-25%,,^50%,-25%,Immune,,,,,-25%,,^50%,Immune,,Immune,,,,
E,88,Toro incavolato,1,Nature,,^50%,,,,,-25%,,,,,,,,-25%,^50%,-25%,Immune,,-25%,^50%,,Immune,,Immune,,,
E,89,Sanguinis,1,Beast,^50%,,,-25%,,,,,,,Immune,,Immune,^50%,Immune,-25%,-25%,-25%,,^50%,,,Immune,,,,Immune,
E,90,Sacco dentato,1,Material,,,-25%,,,,Immune,,,^50%,Immune,,,-25%,,,^50%,^50%,-25%,,Immune,,,,,Immune,,
E,91,Danging Devil,1,Demon,,,,^50%,-25%,,,,,,,,,^50%,Immune,-25%,,,,^50%,-25%,,,,Immune,Immune,,
E,92,Uomosca,1,Zombie,-25%,,,,,^50%,,,,,,-25%,^50%,Immune,,Immune,Immune,,^50%,,-25%,,,,,,,
D,93,Paladino Slime,1,Slime,,,,,^50%,-25%,,,,,,Immune,,Immune,,,,^50%,,-25%,,,,Immune,-25%,^50%,,Immune
D,94,Skeledrago,1,Dragon,,,,,-25%,,^50%,,,-25%,Immune,^50%,-25%,,,,,,-25%,,^50%,Immune,,Immune,,,,
D,95,Ichtus verde,1,Nature,,^50%,,,,,-25%,,,,,,,,-25%,^50%,,,,-25%,^50%,,Immune,,Immune,,,
D,96,Re della notte,1,Beast,^50%,,,-25%,,,,,,Immune,,,Immune,,^50%,,^50%,-25%,,^50%,,,,,,,Immune,
D,97,Cannibaule,1,Material,,,-25%,,,,,,,^50%,Immune,,,-25%,,,^50%,^50%,-25%,,Immune,,,,,-25%,,
D,98,Desert Demon,1,Demon,,,,^50%,-25%,,,,,-25%,,Immune,,^50%,Immune,-25%,,,,^50%,-25%,,,,,Immune,,
D,99,Bulbo ramificato,1,Zombie,-25%,,,,,^50%,,,,,,-25%,^50%,Immune,,Immune,,,^50%,,-25%,Immune,Immune,,,,,
D,100,Slime metallico,1,Slime,Immune,Immune,Immune,Immune,Immune,Immune,Immune,Immune,Immune,Immune,Immune,,Immune,Immune,,Immune,Immune,^50%,,,,Immune,Immune,Immune,,^25%,Immune,Immune
D,101,Slime polifemico,1,Slime,Immune,,,,^50%,-25%,,,,,,Immune,,,,,,^50%,Immune,-25%,,,,,-25%,^50%,,Immune
D,102,Jargon verde,1,Dragon,,,,,,,^50%,,,-25%,,^50%,-25%,,,,,,-25%,,^50%,Immune,,Immune,,Immune,Immune,
D,103,Rigatto,1,Nature,,^50%,,Immune,,,-25%,,,,,,,,-25%,^50%,,,,-25%,^50%,,Immune,,Immune,,-25%,
D,104,Cane di mare,1,Beast,^50%,,,-25%,,,,,,,,,Immune,,^50%,,-25%,-25%,,^50%,,,,Immune,,,Immune,
D,105,Ombra,1,Material,,,-25%,,-25%,Absorb,,,,^50%,Immune,,,-25%,,,^50%,^50%,-25%,,Immune,,,,,,,
D,106,Ankora killer,1,Material,,,-25%,,,,,,,Immune,Immune,,,-25%,Immune,,^50%,^50%,-25%,,Immune,,,,,,,
D,107,Demone minore,1,Demon,,Immune,,^50%,-25%,,,,,,,,,^50%,Immune,-25%,,,,^50%,-25%,,,,,Immune,,
D,108,Dirigibilio,1,Zombie,-25%,Immune,,,,^50%,,,,,,-25%,^50%,Immune,,Immune,,,^50%,,-25%,,,,,,,
D,109,Slime angelico,1,Slime,,,,,Absorb,-25%,,,,,Immune,Immune,,,,,,^50%,,-25%,,,,,-25%,^50%,,Immune
D,110,Pallodrago,1,Dragon,,,,,,,^50%,Immune,,-25%,,^50%,-25%,-25%,,,,,-25%,,^50%,^50%,,^50%,,,,
D,111,Corniglio viola,1,Nature,,^50%,,,,,-25%,,,,,,,,-25%,^50%,,,,-25%,^50%,,Immune,,Immune,,,
D,112,Pinguinrock,1,Nature,,^50%,,Immune,,,-25%,-25%,Immune,,,,-25%,,-25%,^50%,,,,-25%,^50%,,Immune,,Immune,,,
D,113,Athos,1,Beast,^50%,,^50%,-25%,,,,,,,,,Immune,-25%,^50%,-25%,-25%,-25%,,^50%,,,-25%,,,,Immune,
D,114,Menestrello Moai,2,Material,,,-25%,,,,,,,^50%,Immune,,,-25%,,^50%,^50%,^50%,-25%,,Immune,,,,,Immune,,
D,115,Caneffu,1,Material,,,-25%,,,,,,,^50%,Immune,,,-25%,,,^50%,^50%,-25%,,Immune,,,,,,,
D,116,Spiritocchio,1,Demon,,,,Immune,,,,,Immune,,,,,^50%,Immune,-25%,,,,^50%,-25%,,,,,Immune,,
D,117,Skeletro,1,Zombie,-25%,,,,-25%,^50%,,,,,Immune,-25%,^50%,Immune,Immune,Immune,,,^50%,,-25%,,,,,,,
D,118,Re Slime maculato,1,Slime,,,,,^50%,-25%,,,,,Immune,Immune,,,,,,^50%,,-25%,,,,,-25%,^50%,Immune,Immune
D,119,Drago d'acqua,1,Dragon,,,,,,,Immune,,,-25%,,^50%,-25%,,,,,,-25%,,^50%,Immune,,Immune,,Immune,,
D,120,Zeck,1,Nature,,^50%,,,,,-25%,,,,,,,,-25%,^50%,,,Immune,-25%,^50%,Immune,Immune,,Immune,,,
D,121,Cinghialorco,1,Beast,^50%,,,-25%,,,-25%,,,,,,Immune,,^50%,,-25%,-25%,,^50%,,,,Immune,,,Immune,
D,122,Carrettiere,1,Material,,Immune,-25%,,,,,,,^50%,Immune,,,-25%,,,^50%,^50%,-25%,,Immune,,,,,,,
D,123,Golem dorato,1,Material,,,-25%,,,,,,,^50%,Immune,,,-25%,,,^50%,^50%,-25%,,Immune,,,,,,,
D,124,Silvapiteco,1,Demon,,,,^50%,-25%,,,,,,Immune,,,^50%,Immune,-25%,,,,^50%,-25%,,,,-25%,Immune,,
D,125,Gigaslime,1,Slime,,,,,^50%,-25%,,,,,Immune,Immune,,,,,,^50%,,-25%,,,,,-25%,^50%,-25%,Immune
D,126,Porpordrago,2,Dragon,,,,-25%,,,^50%,Immune,,-25%,^50%,^50%,-25%,^50%,^50%,^50%,^50%,,-25%,,^50%,Immune,,Immune,,Immune,,
D,127,Grankiolon,1,Nature,-25%,^50%,,,,,-25%,,,Immune,,,,,-25%,^50%,,,,-25%,^50%,,Immune,,Immune,,,
D,128,Skorpio,1,Nature,-25%,^50%,,,,,-25%,,,,,,Immune,,-25%,Immune,,,,-25%,^50%,,Immune,,Immune,,,
D,129,Tigre mannara,1,Beast,^50%,,,-25%,,,,,,,,,Immune,,^50%,,-25%,-25%,,^50%,,,,,,Immune,Immune,
D,130,Martellus magnus,1,Beast,^50%,,,-25%,,,Immune,,,,,,Immune,,^50%,,-25%,-25%,,^50%,,,,,Immune,,Immune,
D,131,Pettirobot,1,Material,,,-25%,,,,,,,^50%,Immune,,,-25%,Immune,,^50%,^50%,-25%,,Immune,,,,,,,
D,132,Destructore,1,Demon,,,,^50%,-25%,,,,,,,,,^50%,Immune,-25%,,,,^50%,-25%,,,,,Immune,,Immune
D,133,Fantagnan,1,Zombie,-25%,,Immune,,-25%,^50%,,,,,Immune,-25%,^50%,Immune,,Immune,,,^50%,,-25%,,,,,,,
D,134,Metalcabal Slime,1,Slime,,,,,^50%,-25%,,,,,,Immune,,,,Immune,,^50%,,-25%,,,,Immune,-25%,^50%,,Immune
D,135,Sentripede,1,Nature,Immune,^50%,,,,,-25%,,,,,,,,-25%,^50%,,,,-25%,^50%,-25%,Immune,,Immune,,,
D,136,Malanguilla,1,Nature,,^50%,,,,,-25%,,,,,,Immune,,-25%,^50%,,-25%,,-25%,^50%,,Immune,,Immune,,,
D,137,Montone dannato,1,Beast,^50%,,,-25%,,,,,,,,,Immune,,^50%,,^50%,-25%,,^50%,,,,,,,Immune,
D,138,Gelmonio,1,Material,-25%,,-25%,Absorb,,,-25%,-25%,Absorb,^50%,Immune,,,-25%,,,^50%,^50%,-25%,,Immune,,,,,,,
D,139,Jolly killer,1,Demon,,,,^50%,-25%,,,,,,,,,^50%,Immune,-25%,,,,^50%,-25%,,,Immune,,Immune,,
D,140,Serpe d'ossa,1,Zombie,-25%,,,,,^50%,,,,,,-25%,^50%,Immune,,Immune,,,^50%,Immune,-25%,,,,,,,
D,141,Gigaslime arancione,1,Slime,Immune,,,,^50%,-25%,,,,,,Immune,,,,,,^50%,,-25%,,,,-25%,-25%,^50%,,Immune
D,142,Gladiatore marino,1,Dragon,,,,,,,^50%,,,-25%,,^50%,-25%,,,,,,-25%,,^50%,Immune,,Immune,,^50%,-25%,
D,143,Baby piovra,1,Nature,,^50%,,,,,-25%,,,,,,,,-25%,^50%,,,,-25%,^50%,,Immune,,Immune,Immune,,
D,144,Wormongor,3,Nature,,^50%,,,,,-25%,,-25%,^50%,Immune,,Immune,Immune,Immune,Immune,Immune,,,-25%,^50%,,Immune,,Immune,,,
D,145,Anselmo Tell,1,Beast,^50%,,,-25%,,,,,,,,,Immune,,^50%,,-25%,-25%,,^50%,,,,,,Immune,Immune,
D,146,Armour,1,Material,Immune,,-25%,Immune,,,,,,^50%,Immune,,,-25%,,,^50%,^50%,-25%,,Immune,,,,,,,
D,147,Band,1,Demon,,,,^50%,-25%,,,,,,,,,^50%,Immune,-25%,,,,^50%,-25%,,,,Immune,Immune,,
D,148,Multident,1,Demon,,,,^50%,-25%,,,,,,,Immune,,^50%,Immune,-25%,,,,^50%,-25%,,,,,Immune,,
C,149,Dragonslime,1,Slime,,,,,^50%,-25%,,Immune,Immune,,,Immune,,,,,,^50%,,-25%,,,,,-25%,^50%,,Immune
C,150,Asciasauro,1,Dragon,,,,,,,^50%,,,-25%,,^50%,-25%,Immune,,,,,-25%,,^50%,Immune,,Immune,,,,
C,151,Condor blu,1,Nature,,^50%,,,,,-25%,,Immune,,,,,,-25%,^50%,,,,-25%,^50%,,Immune,,Immune,,,Immune
C,152,Lupomannaro,1,Beast,^50%,,,-25%,,,,,,,,,Immune,,^50%,Immune,-25%,-25%,,^50%,,,,,,Immune,Immune,
C,153,Rospo blu,2,Beast,^50%,Immune,,-25%,,,,,,,^50%,,Immune,^50%,Immune,^50%,-25%,-25%,,^50%,,,,,,,Immune,
C,154,Burattinaio nero,1,Material,,,-25%,,,,,,,^50%,Immune,,,-25%,-25%,,Immune,^50%,-25%,,Immune,,Immune,,,,Immune,
C,155,Aggroscultura,1,Demon,,Immune,Immune,^50%,-25%,,,,,,,,,^50%,Immune,-25%,,,,^50%,-25%,,,,,Immune,,
C,156,Granchio oscuro,1,Zombie,-25%,Immune,,,,^50%,,,,,Immune,-25%,^50%,Immune,,Immune,,,^50%,,-25%,,,,,,,
C,157,Torreslime,1,Slime,,-25%,,,^50%,-25%,,,,,,Immune,,,,,,^50%,,-25%,Immune,,,,Immune,^25%,,Immune
C,158,Testuggine corazzata,1,Dragon,,,,Immune,,,^50%,,,-25%,,^50%,-25%,,,,,,-25%,,^50%,Immune,,Immune,,,,Immune
C,159,Scimmia fracassona,1,Nature,,^50%,,,,,-25%,,,Immune,,,,,-25%,^50%,,,,-25%,^50%,,Immune,,Immune,,Immune,
C,160,Great Sabercat,1,Nature,,^50%,^50%,,,,-25%,,,,,,,,-25%,^50%,,,,^50%,^50%,,Immune,,Immune,,,
C,161,Trigertauro,1,Beast,^50%,,,-25%,,,,,,,Immune,,Immune,Immune,^50%,Immune,-25%,-25%,,^50%,,,,,,,Immune,
C,162,Gargoyle,1,Beast,^50%,,,-25%,,,,,,,,,Immune,,Immune,,-25%,-25%,,^50%,,,,Immune,,,Immune,
C,163,Alga sovrana,1,Material,,,-25%,,,,,,,^50%,Immune,,,-25%,,,Immune,^50%,-25%,,Immune,,,,,,,Immune
C,164,Grampistrello,1,Demon,,Immune,,^50%,-25%,Absorb,,,,,,,,^50%,Immune,-25%,,,,^50%,-25%,,,,,Immune,,
C,165,Walking Corrpse,1,Zombie,-25%,,,,-25%,^50%,,,,,Immune,,Immune,Immune,,Immune,,,^50%,,-25%,,,,,,,
C,166,Drago marino,1,Dragon,,Immune,,^50%,,,^50%,,^50%,-25%,,^50%,-25%,,,,,,-25%,,^50%,Immune,,Immune,,,,
C,167,Faccia d'albero,2,Nature,-25%,^50%,,,,,-25%,,,,^50%,,,^50%,-25%,^50%,^50%,,,-25%,^50%,,Immune,,Immune,,Immune,
C,168,Athlantos,1,Beast,^50%,,^50%,-25%,,,,-25%,^50%,,,Immune,Immune,,^50%,,-25%,-25%,,^50%,,,,,,,Immune,
C,169,Octagos,1,Material,^50%,,,-25%,,-25%,,,,Immune,Immune,,Immune,,^50%,,-25%,-25%,,^50%,,,,,,,Immune,Immune
C,170,Malampada,1,Material,,,-25%,,,Immune,,,,^50%,Immune,,,-25%,,^50%,^50%,^50%,-25%,,Immune,,,,,,,
C,171,Polisentinella,1,Demon,,,^50%,^50%,-25%,,,,^50%,,-25%,,,^50%,Immune,-25%,,Immune,,^50%,-25%,,,,,Immune,,
C,172,Armatura killer,1,Zombie,-25%,,,,,^50%,,,,,Immune,-25%,^50%,Immune,,Immune,,,^50%,,-25%,,,Immune,,,,
C,173,Re Slime,1,Slime,,,,,^50%,-25%,,,,,Immune,Immune,,,,,,^50%,,-25%,,,,,-25%,^50%,,Immune
C,174,Gran Pallodrago,1,Dragon,,,,,,,^50%,Immune,,-25%,,^50%,-25%,,,,,,-25%,,Immune,Immune,,Immune,,,,
C,175,Pescelupo,1,Nature,,^50%,,Immune,,,-25%,,Immune,,,,,,-25%,^50%,,,,-25%,^50%,,Immune,,Immune,,,
C,176,Sciakallo,1,Beast,^50%,,,-25%,,,,,,,,Immune,Immune,,^50%,,-25%,-25%,,^50%,,,,,,,Immune,
C,177,Cumulus Rex,1,Material,^50%,,Immune,-25%,,,,,,,,Immune,Immune,,^50%,,-25%,-25%,,^50%,,Immune,,,,,Immune,
C,178,Mechator grigio,1,Material,,-25%,-25%,,,,,,,^50%,Immune,,Immune,-25%,,,^50%,^50%,-25%,,Immune,,,,,,,
C,179,Tentacolocchio,1,Zombie,-25%,,,,,^50%,,,,,,-25%,^50%,Immune,,Immune,,,^50%,,-25%,Immune,Immune,,,,,
C,180,Curaslime,1,Slime,,,,,^50%,-25%,,,,,Immune,Immune,,,,,,^50%,,-25%,,,,,,Immune,,Immune
