id,english,italian
156,Miracle Mace,mazza miracolosa
157,Leather Whip,frusta di cuoio
158,Battle Whip,frusta da guerra
159,Thorn Whip,frusta di spine
160,Sidewinder,frusta Krotalo
161,Snakeskin Whip,frusta Pyton
162,Chain Whip,frusta di ferro
163,Dragontail Whip,coda di drago
164,Spiked Steel Whip,frusta d'acciaio
165,Scourge Whip,frusta dentata
166,Gringham Whip,frusta Gringham
167,Stone Claws,artigli di pietra
168,Metal Claws,artigli metallici
169,Iron Claws,artigli di ferro
170,Sacred Claws,artigli sacri
171,Razor Claws,artigli ninja
172,Steel Claws,artigli d'acciaio
173,Metal Talons,artigli siderali
174,Gryphon Talons,artigli del grifone
175,Sacred Talons,artigli celesti
176,Orichalcum Claws,artigli d'orichalcum
177,Cypress Staff,mazza di cipresso
178,Rune Staff,bastone runico
179,Phoenix Sceptre,scettro della fenice
181,{231} Sceptre,Scettro del più
182,{232} Sceptre,Scettro del meno
183,Crystal Staff,scettro di cristallo
184,Staff of Darkness,bastone delle tenebre
185,Sage`s Staff,Bastone del saggio
186,Royal Rod,scettro reale
187,Leonine Greatsword,spada del leone
188,I188,Sparatankissimus
189,I189,Malevomazza
190,I190,Artigli d'ebano
191,I191,Lancia di Diablo
194,I194,Zampe
195,Crushing Tower,Ammucchiata
196,Miracle Sword,spada dei miracoli
197,Falcon Nail,Artigli di falco
198,Gent Staff,Bastone di Ghent
199,Dragon Claw,Artigli di drago
200,Jack-o`-lantern,Tridente di Gracos
201,Chainsaw,Frusta magica
212,Fire Crystal,Fiamma vivificante
213,Water Crystal,Lacrime di drago
214,Underworld Crystal,Cristallo del tempo
215,Plain Plate,Piastra delle pianure
216,Mountain Plate,Piastra delle montagne
217,Cliff Plate,Piastra delle rocce
218,Coast Plate,Piastra della costa
219,Underworld Ruins Plate,Piastra del dio della guerra
220,The Silver Sword,Spada ipernova
221,I221,Lama ardente
222,I222,Attizzatoio incandescente
223,I223,Lancia Aha
224,God`s Axe,Ascia galattica
225,I225,Spezzaspade
226,Fire Mace,Spaccastelle
227,I227,Spaccatensione
228,True Gringham Whip,Superfrusta di Gringham
229,Witch Whip,Frusta della strega
230,Ryuuzin Claw,Artigli di Xenlon
231,Core drill,Trivella centrale
232,Light staff,Bastone splendente
233,Lucky Stick,Bastone slime
234,Monster Egg,Uovo di mostro
235,I235,Polvere di Potenza gigante
236,I236,Bufferine gigante
237,I237,Acceleratonic gigante
238,I238,Pingium gigante
239,I239,Polvere di Sag gigante
240,I240,Sapperine gigante
241,I241,Deceleratonic gigante
242,I242,Dimium gigante
243,I243,Soma benedetto
244,Anti Slash Proof,Pergamena Spezzaspade
245,Anti Spell Proof,Pergamena Spezzamagie
246,Anti Breath Proof,Pergamena Spezzarespiro
247,Anti Recovery Proof,Pergamena Purificatrice
248,I248 Proof,Libro di Morrie
249,I249 Proof,Pergamena del Maestro del Cammino di battaglia
252,Crushed Metal Proof,'Manuale dell'ammazzametalli'
253,I253 Proof,'Il sigillo dello zero'
254,I254 Proof,'Manuale dell'ammazzagiganti'
