id,nome mostro
253,Silvapiteco
254,Malevoleonex
255,Arcidemone
256,Basettos
257,Bufalorco
258,Jamirus
259,Cresta furiosa
260,Rosapiteco
261,Gracos
262,Bestiah
263,Randellatore notturno
264,Malroth
265,Zoma
266,Nimzo
267,Moltomort
268,Granvert
269,Riccio ribelle
270,Dolcimonius
271,Armatura letale
272,Grampistrello
273,Destructore
274,Demone multimani
275,Taglialbero
276,Gruffone
277,Jolly killer
278,Custode tetro
279,Capitan Catastrofe
280,Mago pancione
281,Juggulare
282,Generale Gufus
283,Barone Von Bellycose
284,Re Korol
285,Hyperanemon
286,Neromar
287,Aamon
288,Cerbero
289,Phantasma
290,Ceppo Geppo
291,Ghoul sbavante
292,Mano
293,Hipster swingante
294,Nauseafungus
295,Dirigibilio
296,Zombeeh
297,Cavaliere feroce
298,Skeletro
299,Armatura killer
300,Cavalier Mortimer
301,Cocco di mummia
302,Ira
303,Kantalga
304,Fantagnan
305,Guardarosa
306,Baron Skeletro
307,Dullahan
308,Anima torturata
309,Capitan Crow
310,Prof Briskod
311,Stivale matto
312,Uomosca
313,Lupo infernale
314,Soldaskeletro
315,Principe Spectros
316,Druido supremo
317,Granchio oscuro
318,Cobra cardinale
319,Cavaliere dell'Ombra
320,Epidemon
321,Gigalunfo
322,Verme delle Grotte
323,Pope Skriterioska
324,
325,Re Godwyn
326,
327,
328,
329,
330,
331,
332,
333,
334,
335,
336,Lupicche
337,Cuordifalco
338,Fiorango
339,Quadrago
340,Lupicche Asso
341,Cuordifalco Asso
342,Fiorango Asso
343,Quadrago Asso
344,Joker
345,
346,Darck
347,Magarugi
348,Beastly Baboorude
349,Babbuincubo
350,Mini Zoma
351,Gadis
352,Forte di Nadiria
353,Lattaslime
354,
355,Dragonlord
356,Stella
357,Dragriphon
358,Barbarus
359,Corvus
360,Wasen
361,Vegetribù
362,Peracolosa
363,Mostradamus
364,Maskerossa
365,Zanzakiller
366,Vermex
367,Millecolpi
368,Lince alata
369,Scruffy
370,Bulbo ramificato
371,Maluovo
372,Tentacolocchio
373,Multifoglia
374,Padramos
375,Magmalvagio
376,Cavalier Terror
377,Hargon
378,Titanis
379,Slime maculato
380,Slime polifemico
381,Magislime
382,Cyber Slime
383,Ovomarch
384,Homo nevis
385,Gran Pallodrago
386,Gladiatore marino
387,Serpe boreale
388,Orochi
389,Drago di Zenithia
390,Beck Beck
391,Barracuda
392,Zeck
393,Fiore della morte
394,Spiritocchio
395,Pescelupo
396,Gelatile
397,Marchese de Léon
398,Riditarra
399,Robocentauro
400,Malampada
401,Gelmonio
402,Centopetra
403,Minitribù
404,Multident
405,Duran
406,Nokturnus
407,Gemon
408,Lacertow
409,Serpe d'ossa
410,Ossassassino
411,Droll
412,Paladinorribilis
413,Terrorantula
414,Exorsus
415,Taurus
416,Gemines
417,Demonstrum
418,Virgax
419,Kapurim
420,Scorpia
421,Rigor Mortex
422,Cancerio
423,Aquarion
424,Sagitta
425,
426,Leonex
427,Carro Slival
428,Ultra Slime
429,Traumatizzator
430,Tiranosfascia
431,Sanguinis
432,Sanguonicum
433,Slime Perbellum
434,Torreslime
435,Ovattino
436,Divino
437,Slime Nemo
438,Principe Latrum
439,Band
440,Terrore alato
441,Xenlon
442,Rossotalpa
443,Multifoglia Klar
444,Droll Diabolista
445,Tankissimus
446,
447,
448,Bulbo ramificato
449,Vermex
450,Lince alata
451,Coda lincea
452,Wasinen
453,Wasen
454,Wasen
455,Wasinen
456,Tentack
457,Lince alata
458,Gemon
459,Empyrea
460,Piovron
461,Robocentauro
462,Sagitta
463,
464,Leonex
465,Gigadragone
466,Druido supremo
467,Re Metalslime
468,Grifotauro
469,Capitan Crow
470,Malevoleonex
471,
472,Tankissimus
473,Dhoulmagus
474,Barbarus
475,Nokturnus
476,Ultra Slime
477,Slime Nemo
478,Estark
479,Drago dimensionale
480,Stella
481,Baboon Beast
482,Evil Beast
483,Don Mole
484,Cancerio
485,Armour
486,Rigor Mortex
487,Cavaliere dell'Ombra
488,Cavaliere Aberrante
489,Centopetra
490,Serpe eterea
491,Sire Dragoviano
492,Leopold
493,Robocentauro
494,Demone multimani
495,Metaliquislime
496,Sagitta
497,Traumatizzator
498,Randellatore notturno
499,Generale Gufus
500,Sanguinis
501,Sanguonicum
502,Sanguinigenio
503,Rovina
504,Generale Pardus
505,Generale Soinos
506,Lupicche Asso
507,Cuordifalco Asso
508,Fiorango Asso
509,Quadrago Asso
510,Mambu-Jambo
511,Atlas
512,
513,X
514,XY
515,
