id,english,italian
172,Dance Seal Guard,Para-Danza proibita
173,Confusion Guard,Para-Confusione
174,Mind Guard,Para-Inazione
175,Paralysis Guard,Para-Paralisi
176,Sleep Guard,Para-Sonno
177,HP Up SP,Ultra Bonus PV
178,MP Up SP,Ultra Bonus PM
179,Attk Up SP,Ultra Bonus ATT
180,Def Up SP,Ultra Bonus DIF
181,Agi Up SP,Ultra Bonus AGI
182,Wis Up SP,Ultra Bonus INT
183,Fire Guard SP,Para-Calore supremo
184,Ice Guard SP,Para-Gelo supremo
185,G185 Guard SP,Para-Vento supremo
186,G186 Guard SP,Para-Luce oscura suprema
187,Warrior,Guerriero
188,G188,Mago
189,G189,Sacerdote
190,G190,Artista marziale
191,G191,Saggio
192,Thief,Ladro
193,Frizz ＆ Sizz,Fiamma & Pyro
194,Liquid Metal King,Re Metalslime
195,Frizz ＆ Sizz +,Fiamma & Pyro II
196,Bang ＆ Sizz,Bang & Pyro
197,Yggdrasil,Yggdrasil
198,Bang ＆ Sizz +,Bang & Pyro II
199,Woosh ＆ Sizz,Vento & Pyro
200,Pipit,Pipetto
201,Woosh ＆ Sizz +,Vento & Pyro II
202,Crack ＆ Sizz,Gelo & Pyro
203,UberKillingMachine,Cybercentauro
204,Crack ＆ Sizz +,Gelo & Pyro II
205,Sizz ＆ Zap,Pyro & Fulmine
206,King Godwyn,Re Godwyn II
207,Sizz ＆ Zap +,Pyro & Fulmine II
208,Sizz ＆ Zam,Pyro & Elektron
209,Munchie,Munchie
210,Sizz ＆ Zam +,Pyro & Elektron II
211,Sizz Guard,Para-Pyro
212,Aerix,Exorsus
213,Dimensional Dragon,Dimensaur
214,Geminex,Gemines
215,Paizar,Demonstrum
216,Virgella,Virgax
217,DarkLeonyx,Malevoleonex
218,Scorpella,Scorpia
219,Libranex,Rigor Mortex
220,Canzar,Cancerio
221,Aquarion,Aquarion
222,Saggitar,Sagitta
223,Leonyx,Leonex
224,Wiggly,Vermex
225,Bjorn,Wasen
226,MissingLynx,Lince alata
227,Khalimari,Piovron
228,Ruin,Rovina
229,Orochi,Orochi
230,ZenithDragon,Drago di Zenithia
231,Empyrea,Empyrea
232,Zoma,Zoma
233,G233 Guard,Para-Sabotamagie
234,Abiliterator Guard,Para-Abilitatore
235,Slashing Seal Guard,Para-Bloccacolpi
236,G236 Guard,Para-Gravitas
237,G237 SP,Über Zapologist
238,SchleimanTank,Guerriero del flauto
239,Wildcard,Joker
240,ManiacMole,Costruzione mitica
241,Molly Selection,Morrie's Melange
242,G242,Maestro della Via delle Sfide
243,Stella,Stella
244,G244,Eroe dei cieli
245,G245,Vuoto vile
246,Corvus,Corvus
247,GreatGodbird,Grande uccello divino
248,Stormsgate,Forte di Nadiria
249,Workshop,Carro Slival
250,Xiphos,Xiphos
251,Gadis,Gadis
252,Darck,Darck
253,Magarugi,Magarugi
254,Sittingbeast,Baboorood
255,Evilbeast,Babbuincubo
