monster_id,monster_name
255,Archdemon
256,Moosifer
257,Buffalogre
258,Jamirus
259,Mohawker
260,Pazuzu
261,Gracos
262,Belial
263,Night Clubber
264,Malroth
265,Zoma
266,Nimzo
267,Mortamor
268,Orgodemir
269,See Urchin
270,Dessert Demon
271,Lethal Armour
272,Great Dracky
273,Wrecktor
274,Demon-At-Arms
275,Tree Feller
276,Gruffon
277,Prickly Prankster
278,Grim Keeper
279,Captain Catastrophe
280,High Djinks
281,Juggular
282,Hootingham-Gore
283,Baron Von Bellycose
284,King Korol
285,Hyperanemon
286,Blackmar
287,Aamon
288,Cerberwretch
289,Ghost
290,Stump Chump
291,Drooling Ghoul
292,Muddy Hand
293,Swingin' Hipster
294,Funghoul
295,Discombombulator
296,Walking Corpse
297,Demonrider
298,Skeleton
299,Restless Armour
300,Grim Rider
301,Mummy Boy
302,Soulspawn
303,Wailin' Weed
304,Phantom Fencer
305,Roseguardin
306,Bone Baron
307,Dullahan
308,Tortured Soul
309,Captain Crow
310,Dr Snapped
311,Skipper
312,Flyguy
313,Hellhound
314,Skeleton Soldier
315,Phantom Swordsman
316,Wight King
317,Dark Crab
318,Cobra Cardinal
319,Wight Knight
320,Ragin' Contagion
321,Gigalumph
322,Grotwyrm
323,Ladja
324,
325,King Godwyn II
326,
327,
328,
329,
330,
331,
332,
333,
334,
335,
336,Wulfspade
337,Hawkhart
338,Cluboon
339,Diamagon
340,Wulfspade Ace
341,Hawkhart Ace
342,Cluboon Ace
343,Diamagon Ace
344,Wildcard
345,
346,Darck
347,Magarugi
348,Beastly Baboorude
349,Baboodread
350,Zoma's Devil
351,Gadis
352,Stormsgate Citadel
353,Meddle Slime
354,
355,Dracolord
356,Stella
357,Greygnarl
358,Barbarus
359,Corvus
360,Bjorn
361,Conklave
362,Mental Pitcher
363,Heedoovoodoo
364,Cheeky Tiki
365,Swarmtroop
366,Wormonger
367,Killerpillar
368,Missing Lynx
369,Scruffy
370,Hyper Heyedra
371,Bad Egg
372,Heyedra
373,Weedie
374,Baramos
375,Magmalice
376,Fright Knight
377,Hargon
378,Titanis
379,Mottle Slime
380,Rubble Slime
381,Magic Slime
382,Cyber Slime
383,Rotten Egg
384,Snowmangler
385,Noble Gasbagon
386,Aquestrian Gladiator
387,Boreal Serpent
388,Orochi
389,Zenith Dragon
390,Weaken Beakon
391,Barracuda
392,Boring Bug
393,Gripevine
394,Cross Eye
395,Paws
396,Snowbird
397,Marquis De Léon
398,Erazor Blade
399,Overkilling Machine
400,Malevolamp
401,Firn Fiend
402,Balhib
403,Conkettes
404,Dangler Fish
405,Dhuran
406,Nokturnus
407,Gemon
408,Murdaw
409,Bona Constrictor
410,Cross Bones
411,Drohl Drone
412,Night Knight
413,Dierantula
414,Exorsus
415,Taurus
416,Dual Duellers
417,Dorsal Fiend
418,Thornella
419,Kapurigon
420,Mortella
421,Rigor Mortex
422,Canzar
423,Aquarion
424,Sagittar
425,
426,Leonyx
427,Schwarzman Tank
428,Ultra Slime
429,Trauminator
430,Tyrannosaurus Wrecks
431,Teeny Sanguini
432,Pink Sanguini
433,Shogum
434,Slime Stack
435,Fluffy
436,Numen
437,Nemeslime
438,Prince O' Thieves
439,Robbin' Huddle
440,Great Godbird
441,Xenlon
442,Maniacal Mole
443,Seedy Weedie
444,Drohl Diabolist
445,Schleiman Tank
446,
447,
448,Hyper Heyedra
449,Wormonger
450,Missing Lynx
451,Tall Tail
452,Baby Bjorn
453,Bjorn
454,Bjorn
455,Baby Bjorn
456,Tentickle
457,Missing Lynx
458,Gemon
459,Empyrea
460,Khalamari
461,Overkilling Machine
462,Sagittar
463,
464,Leonyx
465,Great Dragon
466,Wight King
467,Metal King Slime
468,Bilhaw
469,Captain Crow
470,Malevolynx
471,
472,Schleiman Tank
473,Dhoulmagus
474,Barbarus
475,Nokturnus
476,Ultra Slime
477,Nemeslime
478,Estark
479,Dimensional Dragon
480,Stella
481,Baboon Beast
482,Evil Beast
483,Don Mole
484,Canzar
485,Harmour
486,Rigor Mortex
487,Wight Knight
488,Knight Aberrant
489,Balhib
490,Ethereal Serpent
491,Dragovian Lord
492,Leopold
493,Overkilling Machine
494,Demon-At-Arms
495,Liquid Metal Slime
496,Saggitar
497,Trauminator
498,Night Clubber
499,Hootingham-Gore
500,Teeny Sanguini
501,Pink Sanguini
502,Genie Sanguini
503,Ruin
504,Goresby-Purrvis
505,Goreham-Hogg
506,Wulfspade Ace
507,Hawkhart Ace
508,Cluboon Ace
509,Diamagon Ace
510,Mumboh-Jumboe
511,Atlas
512,
513,X
514,XY
515,
