Grado,#,Mostro,Dim.,Famiglia,PV,PM,Att.,Dif.,Agi.,Int.,Abilità e tratti,,,
F,45,Lacertoflamma,1,Drago,740,360,620,480,840,320,Evasione totale,Guru del Fulmine,Crafty Saboteur,Ammazzastandard
F,46,Infernape,1,Natura,660,340,650,520,980,560,Evasione totale,Paralysis Attack,Astuzia del Paralizzante,Random Nether Fog
F,47,Beck Beck,1,Bestia,700,330,720,560,710,460,Hit Squad (2),Astuzia dello Stoopid,Fuga da maestro,1-2 Moves
F,48,Maskerossa,1,Materiale,720,320,680,980,280,520,Astuzia della Danzaluce,Vento frenante immediato,Velocipiù immediato,Pressure
F,49,Mostradamus,1,Demone,690,480,600,550,530,800,Contrattaccante,Astuzia della Danza proibita,Astuzia del Blocca-K.O.,Ritorno a sorpresa
F,50,Ghoul sbavante,1,Non-morti,630,480,660,540,670,780,Sleep Attack,Astuzia del Velocimeno,Astuzia del Bloccacolpi,1-2 Moves
E,51,Slimpunk,1,Slime,760,260,800,500,480,520,Increase Tension,Astuzia del Fulmine,Tensione immediata,1-2 Moves
E,52,Serpe boreale,2,Drago,1150,320,820,720,590,820,1-2 Mega Moves,Evasione totale,Guru del Gelo,Astuzia del Respiro ghiacciato
E,53,Peso gallo,2,Natura,1020,440,840,660,940,720,1-2 Mega Moves,Evasione totale,Fuga da maestro,Tensione casuale
E,54,Yeeteeh,1,Bestia,740,260,760,680,460,520,Hit Squad (2),Astuzia del Respiro ghiacciato,Guru del Gelo,Contrattaccante
E,55,Magibambola,1,Materiale,660,480,580,670,600,740,Crafty Saboteur,Astuzia dello Stoopid,Counterslammer,Ammazza Metallo
E,56,Ranassassina,1,Demone,680,420,680,620,540,640,Ooomph immediato,Astuzia della Morte rapida,Astuzia del Blocca-K.O.,Whack Attack
E,57,Cocco di mummia,1,Non-morti,720,400,660,700,500,400,Sleep Attack,Astuzia del Velocimeno,Mitico critico,Crafty Saboteur
E,58,Guscioslime,1,Slime,780,480,420,960,240,560,Scout Chance Up,Crafty Saboteur,Superdifesa immediata,Critical Guard
E,59,Dragocorno,1,Drago,760,260,760,660,500,320,Increase Tension,Astuzia dell'Inazione,Astuzia dell'Abilitatore,Whack Attack
E,60,Peracolosa,1,Natura,660,460,680,660,460,720,Poison Attack,Guru del Pyro,Astuzia dell'Abilitatore,Magic Drain Attack
E,61,Pan,1,Bestia,730,320,630,700,540,680,Sleep Attack,Astuzia del Sonnolento,Desperado,Ally Tension Rise
E,62,Asciaboia,1,Materiale,760,240,740,660,440,600,Astuzia del Velocimeno,Superdifesa casuale,Mitico critico,1-2 Moves
E,63,Cacciateste,1,Demone,660,340,800,660,700,240,Battimetallo,Astuzia della Morte rapida,Ammazza Metallo,Whack Attack
E,64,Cavaliere feroce,1,Non-morti,680,220,680,700,880,600,Contrattaccante,Astuzia del Debilis,Ooomph immediato,Prima e meglio
E,65,Slime maculato,1,Slime,720,360,620,640,660,520,Astuzia del Fulmine,Guru della Gravitas,Imaginative,1-2 Moves
E,66,Rapax,1,Drago,760,230,720,810,400,500,Evasione totale,Vento frenante immediato,Guru della Fiamma,1-2 Moves
E,67,Cactusfera,1,Natura,720,230,800,630,580,500,Centro perfetto,Astuzia della Danza proibita,Contrattaccante,Crafty Saboteur
E,68,Gatto vampiro,1,Bestia,700,320,560,590,860,780,Evasione totale,Prima e meglio,Random Fizzle,Astuzia dello Spruzzo
E,69,Esplo-sasso,1,Materiale,760,210,710,940,240,680,Increase Tension,Tensione casuale,Rare Tension,Astuzia della Morte rapida
E,70,Blob bianco,1,Demone,680,480,460,720,680,800,Recupera & risparmia,Astuzia del PickMagic,Guru del Vento,Magic Drain Attack
E,71,Hipster swingante,1,Non-morti,660,360,660,480,880,720,Attacco multiplo,Imaginative,Ammazza Metallo,Sleep Attack
E,72,Droll Diabolista,1,Non-morti,760,360,540,570,680,620,Scout Chance Up,Astuzia del PickMagic,Magic Counter,Astuzia del Diavolo
E,73,Kurridor,1,Drago,760,140,740,580,920,200,Tensione immediata,Astuzia del Respiro di fuoco,Astuzia del Respiro ghiacciato,Mitico critico
E,74,Great Sabercub,1,Natura,720,180,740,740,720,440,Attacco multiplo,Astuzia del Blocca-K.O.,Astuzia della Morte rapida,Crafty Saboteur
E,75,Gelatile,1,Bestia,680,400,660,560,680,640,Evasione totale,Astuzia del Respiro ghiacciato,Random Fizzle,Salvezza stentata
E,76,Danging Flame,1,Materiale,660,420,660,700,600,600,Guru della Fiamma,Astuzia della Fiamma,Astuzia del Respiro di fuoco,Ammazzastandard
E,77,Diavoletto,1,Demone,680,280,680,680,680,800,Guru del Bang,Astuzia del Bang,Astuzia del Respiro di fuoco,Onda distruttrice
E,78,Stivale matto,1,Non-morti,660,380,600,860,680,520,Fuga da maestro,Astuzia della Danza proibita,Rare Tension,Prima e meglio
E,79,Slimaca,1,Slime,720,400,640,1000,160,560,Fuga da maestro,Magic Barrier,Prima e meglio,Corpo Metallico Leggero
E,80,Verdrago,2,Drago,1300,240,760,670,460,540,1-2 Mega Moves,Agguato esperto,Astuzia del Respiro di fuoco,Astuzia del Fulmine
E,81,Chimera,1,Natura,660,420,680,640,600,640,Evasione totale,Hit Squad (2),Ammazzagiganti,Desperado
E,82,Mastino guerriero,1,Bestia,680,300,700,700,680,600,Hit Squad (2),Immediate Fizzle,Astuzia dello Stoopid,1-2 Moves
E,83,Campanella,1,Materiale,640,420,560,880,640,720,Confusion Attack,Gambling Body,Astuzia della Gravitas,Fortunato
E,84,Gruffone,1,Demone,800,400,560,800,300,360,Attacco multiplo,Restless ,Astuzia della Gravitas,Ooomph casuale
E,85,Lupo infernale,1,Non-morti,700,180,700,820,740,560,Increase Tension,Centro perfetto,Velocipiù casuale,Intimidazione
E,86,Homo nevis,1,Slime,660,400,700,740,480,680,Guru del Gelo,Astuzia del Gelo,Astuzia della Morte rapida,Velocipiù immediato
E,87,Libellula,1,Drago,660,420,580,460,940,720,Evasione totale,Astuzia della Danzaluce,Astuzia del Sonnolento,Astuzia dell'Inazione
E,88,Toro incavolato,1,Natura,660,380,720,680,600,560,Contrattaccante,Astuzia del Sonnolento,Increase Tension,Tensione immediata
E,89,Sanguinis,1,Bestia,600,480,600,640,880,640,Evasione totale,Fascino strano,Prima e meglio,Onda di sollievo
E,90,Sacco dentato,1,Materiale,620,480,560,780,680,760,Salvezza stentata,Astuzia del Confusore,Crafty Saboteur,Magic Counter
E,91,Demone danzante,1,Demone,720,460,420,700,720,680,Enemy Tension Reset,Astuzia della Gravitas,Astuzia dello Stoopid,1-2 Moves
E,92,Uomosca,1,Non-morti,660,360,640,660,890,420,Evasione totale,Astuzia dello Stoopid,Poison Body,Astuzia del Veleno
D,93,Paladino Slime,1,Slime,660,420,660,740,560,600,Contrattaccante,Astuzia del Bang,Astuzia dell'Indebolente,Ooomph immediato
D,94,Skeledrago,1,Drago,800,240,720,600,480,400,Guru del Gelo,Guru dell'Elektron,Autoguarigione,Astuzia del Respiro ghiacciato
D,95,Ichtus verde,1,Natura,620,440,680,680,680,640,Paralysing Body,Astuzia dell'Inazione,Poison Attack,Astuzia del Paralizzante
D,96,Re della notte,1,Bestia,680,440,680,680,460,600,Evasione totale,Astuzia del Sonnolento,Restless ,Counterslammer
D,97,Cannibaule,1,Materiale,720,280,720,800,490,460,Desperado,Item Chance Up,Astuzia del Sonnolento,Astuzia della Morte rapida
D,98,Desert Demon,1,Demone,760,340,680,640,360,640,Mitico critico,Astuzia della Gravitas,Salvezza stentata,Ammazza Metallo
D,99,Bulbo ramificato,1,Non-morti,760,280,680,480,580,760,Hit Squad (3),Astuzia dell'Elektron,Counterslammer,Paralysing Body
D,100,Slime metallico,1,Slime,20,480,500,1200,1200,720,Corpo metallico,Flustered,Astuzia del Fulmine,Ritorno a sorpresa
D,101,Slime polifemico,1,Slime,760,220,640,860,480,600,Gambling Body,Superdifesa immediata,Autoguarigione,Critical Guard
D,102,Jargon verde,1,Drago,790,180,680,880,480,320,Exp Up,Gold Up,Item Chance Up,Scout Chance Up
D,103,Rigatto,1,Natura,700,300,660,660,700,640,Guru del Gelo,Fascino strano,Restless ,Sveglia ritardata
D,104,Cane di mare,1,Bestia,680,400,720,560,680,400,Guru del Vento,Ammazzagiganti,Centro perfetto,Enemy Tension Reset
D,105,Ombra,1,Materiale,620,480,540,650,860,740,Guru dell'Elektron,Hit Squad (2),Counterslammer,Magic Drain Body
D,106,Ankora killer,1,Materiale,720,300,700,930,300,580,Astuzia dell'Indebolente,Astuzia della Gravitas,Magic Barrier,Desperado
D,107,Demone minore,1,Demone,680,480,580,600,580,760,Astuzia della Gravitas,Crafty Saboteur,Astuzia del Pyro,Enemy Tension Reset
D,108,Dirigibilio,1,Non-morti,700,420,660,580,560,600,Evasione totale,Hit Squad (3),Confusion Attack,Ammazza Metallo
D,109,Slime angelico,1,Slime,660,480,480,620,820,800,Evasione totale,Recupera & risparmia,Ritorno a sorpresa,Fortunato
D,110,Pallodrago,1,Drago,760,320,680,880,240,480,Ultimatum,Astuzia della Fiamma,Guru del Fulmine,Rigenerazione magica
D,111,Corniglio viola,1,Natura,730,260,620,660,780,560,Increase Tension,Astuzia del Fulmine,Confused Frenzy,Whack Attack
D,112,Pinguinrock,1,Natura,660,420,560,640,860,600,Fortunato,Guru del Vento,Astuzia del Vento,Persistent
D,113,Athos,1,Bestia,620,360,710,660,860,520,Prima e meglio,Guru della Gravitas,Centro perfetto,Contrattaccante
D,114,Menestrello Moai,2,Materiale,1100,520,740,820,420,880,1-2 Mega Moves,Astuzia del Bloccacolpi,Astuzia del Blocca-K.O.,Astuzia della Danza proibita
D,115,Caneffu,1,Materiale,720,380,650,580,560,640,Ultimatum,Persistent,Superdifesa immediata,Astuzia della Gravitas
D,116,Spiritocchio,1,Demone,760,380,680,680,260,600,Attacco multiplo,Restless ,Astuzia del Paralizzante,Tensione immediata
D,117,Skeletro,1,Non-morti,790,240,720,620,480,440,Astuzia dell'Abilitatore,Contrattaccante,Salvezza stentata,Onda distruttrice
D,118,Re Slime maculato,1,Slime,800,260,720,640,340,520,Magic Barrier,Astuzia del Sonnolento,Confused Frenzy,1-2 Moves
D,119,Drago d'acqua,1,Drago,780,180,780,880,280,400,Evasione totale,Protective Fog,Astuzia del Respiro ghiacciato,Autoguarigione
D,120,Zeck,1,Natura,660,360,680,680,650,700,Astuzia del Velocimeno,Astuzia del Debilis,Astuzia dell'Indebolente,Ooomph immediato
D,121,Cinghialorco,1,Bestia,700,360,700,600,580,600,Recupera & risparmia,Intellygo immediato,Astuzia del Bloccacolpi,1-2 Moves
D,122,Carrettiere,1,Materiale,630,380,720,780,640,520,Astuzia dell'Abilitatore,Velocipiù casuale,Whack Attack,Astuzia della Morte rapida
D,123,Golem dorato,1,Materiale,760,300,700,840,320,400,Increase Tension,Astuzia del Velocimeno,Astuzia del PickMagic,Astuzia del Blocca-K.O.
D,124,Silvapiteco,1,Demone,700,440,520,700,600,760,Astuzia dello Spruzzo,Guru del Pyro,Astuzia del Pyro,Magic Counter
D,125,Gigaslime,1,Slime,800,420,660,680,160,400,Increase Tension,Desperado,Astuzia della Danza proibita,Restless
D,126,Porpordrago,2,Drago,1200,240,960,680,380,680,1-2 Mega Moves,Astuzia del Sonnolento,Astuzia del Respiro ghiacciato,Immediate Nether Fog
D,127,Grankiolon,1,Natura,680,260,640,980,680,440,Salvezza stentata,Astuzia del PickMagic,Superdifesa immediata,Fortunato
D,128,Skorpio,1,Natura,660,300,700,1000,520,480,Mitico critico,Paralysis Attack,Astuzia del Veleno,Corpo Metallico Leggero
D,129,Tigre mannara,1,Bestia,700,320,680,770,540,580,Mitico critico,Attacco multiplo,Gardameh,Astuzia della Danza proibita
D,130,Martellus magnus,1,Bestia,700,220,880,700,440,520,Increase Tension,Scout Chance Up,Desperado,Tensione immediata
D,131,Pettirobot,1,Materiale,680,360,620,940,520,520,Evasione totale,Exp Up,Electrifying,Ammazza Metallo
D,132,Destructore,1,Demone,720,480,540,560,520,800,Guru dell'Elektron,Astuzia dello Stoopid,Astuzia del Bang,Onda di sollievo
D,133,Fantagnan,1,Non-morti,620,380,760,480,860,600,Evasione totale,Ammazzagiganti,Mitico critico,Centro perfetto
D,134,Metalcabal Slime,1,Slime,660,320,660,860,680,520,Corpo Metallico Leggero,Contrattaccante,Astuzia del Paralizzante,Ooomph immediato
D,135,Sentripede,1,Natura,740,260,700,1030,280,420,Paralysis Attack,Superdifesa casuale,Paralysing Body,Corpo Metallico Leggero
D,136,Malanguilla,1,Natura,700,320,680,680,680,480,Poison Attack,Astuzia del Debilis,Mitico critico,Astuzia del Velocimeno
D,137,Montone dannato,1,Bestia,660,340,680,820,500,800,Random Fizzle,Imaginative,Astuzia dello Spruzzo,Salvezza stentata
D,138,Gelmonio,1,Materiale,720,360,660,660,480,680,Guru del Gelo,Astuzia del Respiro ghiacciato,Ooomph immediato,Astuzia del Gelo
D,139,Jolly killer,1,Demone,700,260,730,420,920,560,Guru del Fulmine,Velocipiù casuale,Astuzia del Fulmine,1-2 Moves
D,140,Serpe d'ossa,1,Non-morti,720,340,640,640,680,480,Astuzia della Danza proibita,Astuzia del Gelo,Velocipiù casuale,Salvezza stentata
D,141,Gigaslime arancione,1,Slime,800,280,700,740,280,440,Guru della Fiamma,Desperado,Astuzia dell'Inazione,Astuzia del Paralizzante
D,142,Gladiatore marino,1,Drago,680,280,740,680,620,680,Centro perfetto,Astuzia del Bloccacolpi,Ammazzastandard,Critical Guard
D,143,Baby piovra,1,Natura,680,400,680,660,540,640,Fascino strano,Astuzia del PickMagic,Astuzia del Gelo,Magic Drain Attack
D,144,Wormongor,3,Natura,1950,220,680,620,540,480,1-3 Giga Moves,Poison Body,Paralysing Body,Astuzia della Gravitas
D,145,Anselmo Tell,1,Bestia,740,360,620,680,620,360,Astuzia del Veleno,Rare Tension,Poison Attack,Mitico critico
D,146,Armour,1,Materiale,750,220,740,940,280,520,Astuzia dell'Elektron,Gambling Body,Battimetallo,Critical Guard
D,147,Band,1,Demone,740,280,720,600,600,480,Attacco multiplo,Astuzia del Fulmine,Velocipiù casuale,Guru della Gravitas
D,148,Multident,1,Demone,640,400,700,620,660,720,Guru del Pyro,Astuzia del Paralizzante,Astuzia del Blocca-K.O.,Ooomph immediato
C,149,Dragonslime,1,Slime,760,400,780,680,800,640,Evasione totale,Astuzia dell'Indebolente,Protective Fog,Astuzia del Respiro di fuoco
C,150,Asciasauro,1,Drago,880,160,900,640,700,440,Hit Squad (2),Ammazzagiganti,Gardameh,Estremi opposti
C,151,Condor blu,1,Natura,840,440,730,660,630,420,Evasione totale,Astuzia della Danzaluce,Astuzia dello Stoopid,Velocipiù immediato
C,152,Lupomannaro,1,Bestia,740,400,780,680,780,840,Hit Squad (3),Increase Tension,Superdifesa immediata,Tensione immediata
C,153,Rospo blu,2,Bestia,1400,580,760,620,440,520,1-2 Mega Moves,Hit Squad (4),Imaginative,Paralysing Body
C,154,Burattinaio nero,1,Materiale,700,540,720,710,720,900,Ally Tension Rise,Enemy Tension Reset,Enemy Tension Rise,Enemy Tension Down
C,155,Aggroscultura,1,Demone,780,400,800,900,480,600,Guru del Bang,Astuzia del Bang,Poison Attack,Astuzia del Veleno
C,156,Granchio oscuro,1,Non-morti,700,320,620,980,360,560,1-2 Moves,Salvezza stentata,Sfortunato,Corpo Metallico Leggero
C,157,Torreslime,1,Slime,780,420,760,730,660,660,Hit Squad (3),Exp Up,Protective Fog,1-2 Moves
C,158,Testuggine corazzata,1,Drago,860,540,460,960,380,840,Attacco multiplo,Counterslammer,Enemy Tension Down,Critical Guard
C,159,Scimmia fracassona,1,Natura,880,200,840,600,760,480,Hit Squad (3),Estremi opposti,Tensione immediata,Guru della Gravitas
C,160,Great Sabercat,1,Natura,860,120,900,560,960,400,Hit Squad (2),Prima e meglio,Astuzia del Vento,1-2 Moves
C,161,Trigertauro,1,Bestia,780,480,720,620,700,720,Autoguarigione,Astuzia dell'Indebolente,Random Fizzle,1-2 Moves
C,162,Gargoyle,1,Bestia,760,460,760,720,720,560,Evasione totale,Guru della Gravitas,Immediate Fizzle,1-2 Moves
C,163,Alga sovrana,1,Materiale,720,540,700,800,640,800,Ally Tension Rise,Astuzia del Bloccacolpi,Enemy Tension Down,Intellygo immediato
C,164,Grampistrello,1,Demone,820,200,780,820,840,600,Evasione totale,Astuzia del Vento,Velocipiù casuale,Onda di sollievo
C,165,Walking Corrpse,1,Non-morti,900,320,840,660,420,400,Poison Body,Astuzia del Veleno,Random Nether Fog,1-2 Moves
C,166,Drago marino,1,Drago,800,440,720,720,660,600,Evasione totale,Astuzia del Respiro ghiacciato,Astuzia dell'Indebolente,Astuzia della Danzaluce
C,167,Faccia d'albero,2,Natura,1250,660,850,720,450,820,1-2 Mega Moves,Hit Squad (2),Despellado,Astuzia del PickMagic
C,168,Athlantos,1,Bestia,780,400,720,840,740,520,Astuzia dell'Abilitatore,Astuzia dell'Indebolente,Tensione casuale,Recupera & risparmia
C,169,Octagos,1,Materiale,800,380,780,920,440,640,Attacco multiplo,Astuzia della Gravitas,Astuzia del Debilis,Autoguarigione
C,170,Malampada,1,Materiale,780,400,700,750,820,620,Attacco multiplo,Ally Tension Rise,Superdifesa immediata,Magic Barrier
C,171,Polisentinella,1,Demone,760,500,720,790,620,620,Agguato esperto,Astuzia della Danzaluce,Astuzia del Debilis,1-2 Moves
C,172,Armatura killer,1,Non-morti,760,400,740,980,620,560,Increase Tension,Astuzia della Gravitas,Agguato esperto,Battimetallo
C,173,Re Slime,1,Slime,880,340,640,780,520,840,Mitico critico,Salvezza stentata,Magic Barrier,Intimidazione
C,174,Gran Pallodrago,1,Drago,840,300,820,840,540,440,Evasione totale,Agguato esperto,Astuzia del Bang,Tensione immediata
C,175,Pescelupo,1,Natura,820,280,800,700,780,560,Hit Squad (2),Enemy Tension Reset,Tensione casuale,Whack Attack
C,176,Sciakallo,1,Bestia,800,320,820,600,920,400,Agguato esperto,Hit Squad (2),Centro perfetto,Contrattaccante
C,177,Cumulus Rex,1,Materiale,860,540,640,520,460,840,Attacco multiplo,Rigenerazione magica,Vento frenante casuale,Onda di sollievo
C,178,Mechator grigio,1,Materiale,780,240,670,680,480,400,1-2 Moves,Battimetallo,Ooomph casuale,Electrifying
C,179,Tentacolocchio,1,Non-morti,820,400,760,740,540,640,Hit Squad (3),Astuzia dell'Elektron,Poison Body,Immediate Fizzle
C,180,Curaslime,1,Slime,760,540,600,660,770,900,Recupera & risparmia,Astuzia del PickMagic,Intellygo casuale,1-2 Moves
C,181,Metaldragone,1,Drago,780,420,720,900,580,640,Gambling Body,Astuzia del Bloccacolpi,Astuzia dell'Elektron,Ammazzastandard
C,182,Barracuda,1,Natura,820,380,840,620,660,400,Prima e meglio,Confused Frenzy,Astuzia del Velocimeno,Mitico critico
C,183,Pipit,1,Natura,900,540,260,690,860,900,Recupera & risparmia,Fascino strano,Attacchi da panico,Anticontrattaccante
C,184,Mezzo porco,2,Bestia,1300,290,840,480,330,410,1-3 Mega Moves,Hit Squad (2),Attacchi da panico,Ooomph immediato
C,185,Dademone blu,1,Bestia,860,400,720,740,540,480,Guru del Vento,Onda di sollievo,Intellygo casuale,Astuzia del Vento
C,186,Golem,1,Materiale,880,260,820,960,280,560,Increase Tension,Astuzia del Debilis,Autoguarigione,Rare Tension
C,187,Riditarra,1,Demone,740,380,780,720,900,600,Evasione totale,Centro perfetto,Battimetallo,Velocipiù immediato
C,188,Cerbero,1,Non-morti,640,220,580,420,600,440,1-3 Moves,Attacco multiplo,Cari incantesimi,Poison Body
C,189,Cyber Slime,1,Slime,800,400,780,760,500,760,Paralysing Body,Item Chance Up,Astuzia del Paralizzante,Paralysis Attack
C,190,Metaliquislime,1,Slime,40,540,580,1300,1300,800,Corpo metallico,Fuga da maestro,Persistent,Astuzia del Bang
C,191,Dragarcio,1,Drago,900,170,720,450,350,240,1-2 Moves,Astuzia del Veleno,Immediate Break Bind,Confused Frenzy
C,192,Crostaceus,1,Natura,760,420,700,980,660,560,Hit Squad (2),Astuzia dell'Indebolente,Superdifesa immediata,Astuzia del Debilis
C,193,Lleviathan ,3,Natura,1800,340,700,670,500,800,2-3 Giga Moves,Restless ,Sveglia ritardata,Cari incantesimi
C,194,Pocomacho,1,Bestia,880,220,840,760,600,400,Astuzia dell'Abilitatore,Astuzia del Bloccacolpi,Confused Frenzy,Gran confusione
C,195,Lince alata,3,Bestia,2100,210,750,700,890,580,1-3 Giga Moves,Intimidazione,Astuzia del Vento,Astuzia del Bloccacolpi
C,196,Grifone,1,Demone,800,520,700,700,580,560,Astuzia della Danzaluce,Astuzia dello Spruzzo,Intellygo immediato,1-2 Moves
C,197,Custode tetro,1,Demone,760,420,760,670,840,580,Rigenerazione magica,Astuzia della Fiamma,Enemy Tension Reset,Whack Attack
B,198,Magislime,1,Slime,780,540,480,680,910,900,Attacco multiplo,Guru del Pyro,Astuzia del Pyro,Magic Drain Attack
B,199,Megacertola,1,Drago,900,200,820,840,560,320,Desperado,Poison Attack,Superdifesa casuale,Astuzia del Veleno
B,200,Mandrake Marshal ,1,Drago,780,420,740,760,680,640,Hit Squad (2),Increase Tension,Astuzia della Fiamma,Critical Guard
B,201,Scarafante nero,1,Natura,780,280,800,1000,680,480,Increase Tension,Astuzia dell'Abilitatore,Gambling Body,Astuzia dell'Elektron
B,202,Penna di fuoco,1,Bestia,760,360,780,680,880,640,Evasione totale,Astuzia del Respiro di fuoco,Immediate Fizzle,Salvezza stentata
B,203,Magmalvagio,1,Materiale,800,400,760,740,600,680,Guru della Fiamma,Astuzia del Respiro di fuoco,Superdifesa casuale,Astuzia della Fiamma
